Week,Month,Start_Date,End_Date,Topic,Subtopics,Learning_Materials,Practical_Tasks,Status,Notes,Completed_Date
1,1,2024-11-02,2024-11-08,C# Fundamentals,Variables|Data Types|Control Flow|Methods,Microsoft Learn C# Basics,Calculator App|Number Guessing Game,Not Started,,
2,1,2024-11-09,2024-11-15,C# Fundamentals,Arrays|Collections|Strings,freeCodeCamp C# Tutorial,To-Do List Console App,Not Started,,
3,1,2024-11-16,2024-11-22,OOP Basics,Classes|Objects|Constructors|Properties,Microsoft Learn OOP,Library Management System,Not Started,,
4,1,2024-11-23,2024-11-29,OOP Basics,Methods|Encapsulation|Inheritance,C# Players Guide,Bank Account System|Shape Calculator,Not Started,,
5,2,2024-11-30,2024-12-06,OOP Advanced,Polymorphism|Interfaces,Microsoft Learn Advanced OOP,Payment System Interface,Not Started,,
6,2,2024-12-07,2024-12-13,OOP Advanced,Abstract Classes|Static Members,C# in a Nutshell Ch 3-4,Animal Kingdom System,Not Started,,
7,2,2024-12-14,2024-12-20,C# Advanced Features,Generics|Collections,C# in a Nutshell Ch 7,Generic Repository Pattern,Not Started,,
8,2,2024-12-21,2024-12-27,C# Advanced Features,LINQ|Exception Handling,Microsoft Learn LINQ,Student Management LINQ,Not Started,,
9,3,2024-12-28,2025-01-03,Data Structures,Arrays|Strings|Linked Lists,YouTube DS Playlist,Implement LinkedList from scratch,Not Started,,
10,3,2025-01-04,2025-01-10,Data Structures,Stacks|Queues,Data Structures Tutorial,Implement Stack & Queue,Not Started,,
11,3,2025-01-11,2025-01-17,Data Structures,Trees|BST,Abdul Bari Algorithms,Implement Binary Tree & BST,Not Started,,
12,3,2025-01-18,2025-01-24,Data Structures,Hash Tables|Graphs,Data Structures in C#,Implement HashTable & Graph,Not Started,,
13,4,2025-01-25,2025-01-31,Algorithms,Sorting Algorithms,CLRS Ch 2-7,Implement QuickSort|MergeSort,Not Started,,
14,4,2025-02-01,2025-02-07,Algorithms,Searching|Binary Search,Abdul Bari Playlist,Binary Search variations,Not Started,,
15,4,2025-02-08,2025-02-14,Algorithms,Recursion|Backtracking,Algorithm Design Manual,10 Recursion problems,Not Started,,
16,4,2025-02-15,2025-02-21,Algorithms,Dynamic Programming,CLRS DP Chapter,5 DP problems (Easy-Medium),Not Started,,
17,5,2025-02-22,2025-02-28,Problem Solving,Arrays & Hashing,LeetCode Easy,20 Easy problems,Not Started,,
18,5,2025-03-01,2025-03-07,Problem Solving,Two Pointers|Sliding Window,NeetCode Roadmap,15 Easy problems,Not Started,,
19,5,2025-03-08,2025-03-14,Problem Solving,Binary Search|Linked Lists,LeetCode Medium,15 Easy problems,Not Started,,
20,5,2025-03-15,2025-03-21,Problem Solving,Trees|DFS|BFS,NeetCode Trees,10 Medium problems,Not Started,,
21,6,2025-03-22,2025-03-28,Problem Solving,Graphs|Heaps,LeetCode Explore,15 Medium problems,Not Started,,
